Tool
EMF API
Eclipse OCL
GCL (SingleFix)
GCL (CollectiveFix)
Jena (Inferencing-ttl)
Jena (No Inferencing-ttl)
Jena (No Inferencing-nt)
MySQL
Neo4j (embedded-Core API-CSV)
Neo4j (embedded-Core API-GraphML)
Neo4j (embedded-Cypher-GraphML)
Neo4j (in-memory-Cypher-GraphML)
SQLite
TinkerGraph (Core API)
TinkerGraph (Gremlin)
VIATRA (Incremental)
VIATRA (Local Search)
